ID,Country,Continent,Population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
140,Central African Republic,Africa,5742.320000,2.877000e+09,1.810389e+09,5.010200e+02,3.152713e+02
148,Chad,Africa,18278.570000,1.351700e+10,1.126730e+10,7.395000e+02,6.164211e+02
152,Chile,South America,19629.590000,3.510360e+11,2.470460e+11,1.788300e+04,1.258537e+04
156,China,Asia,1425671.350000,2.186550e+13,1.121830e+13,1.533697e+04,7.868771e+03
170,Colombia,South America,52085.170000,3.704700e+11,2.824630e+11,7.112770e+03,5.423090e+03
174,Comoros,Africa,852.080000,1.386000e+09,1.149803e+09,1.626620e+03,1.349407e+03
184,Cook Islands,Oceania,17.040000,0.000000e+00,2.901942e+08,1.702618e+04,1.703018e+04
188,Costa Rica,North America,5212.170000,6.818000e+10,5.743551e+10,1.308092e+04,1.101950e+04
191,Croatia,Europe,4008.620000,7.582700e+10,5.123100e+10,1.891600e+04,1.278021e+04
192,Cuba,North America,11194.450000,0.000000e+00,8.968870e+10,8.011890e+03,8.011890e+03
531,Curacao,North America,192.080000,0.000000e+00,3.121450e+09,1.625103e+04,1.625078e+04
196,Cyprus,Europe,1260.140000,3.013700e+10,2.004623e+10,2.391563e+04,1.590794e+04
203,Czech Republic,Europe,10495.300000,3.189380e+11,1.953050e+11,3.038866e+04,1.860881e+04
180,DR Congo,Africa,102262.810000,7.148700e+10,4.033749e+10,6.990500e+02,3.944493e+02
208,Denmark,Europe,5910.910000,4.192660e+11,3.069000e+11,7.093084e+04,5.192088e+04
262,Djibouti,Africa,1136.460000,4.199000e+09,1.891520e+09,3.694820e+03,1.664397e+03
212,Dominica,North America,73.040000,6.950000e+08,5.814840e+08,9.515330e+03,7.961172e+03
214,Dominican Republic,North America,11332.970000,1.165440e+11,7.158359e+10,1.028362e+04,6.316401e+03
218,Ecuador,South America,18190.480000,1.202460e+11,9.801021e+10,6.610380e+03,5.387995e+03
818,Egypt,Africa,112716.600000,4.503610e+11,2.701440e+11,3.995520e+03,2.396664e+03
222,El Salvador,North America,6364.940000,3.222300e+10,2.679747e+10,5.062570e+03,4.210168e+03
226,Equatorial Guinea,Africa,1714.670000,1.495600e+10,1.067794e+10,8.722370e+03,6.227403e+03
232,Eritrea,Africa,3748.900000,2.777000e+09,5.413804e+09,7.407500e+02,1.444105e+03
233,Estonia,Europe,1322.770000,4.010200e+10,2.333792e+10,3.031680e+04,1.764322e+04
748,Eswatini,Africa,1210.820000,4.945000e+09,4.007002e+09,4.084000e+03,3.309329e+03
231,Ethiopia,Africa,126527.060000,1.162470e+11,7.031456e+10,9.187500e+02,5.557275e+02
242,Fiji,Oceania,936.380000,5.734000e+09,4.671118e+09,6.123620e+03,4.988486e+03
246,Finland,Europe,5545.480000,3.145020e+11,2.385030e+11,5.671327e+04,4.300852e+04
250,France,Europe,64756.580000,3.086230e+12,2.465450e+12,4.765888e+04,3.807264e+04
258,French Polynesia,Oceania,308.870000,0.000000e+00,5.417934e+09,1.754103e+04,1.754115e+04
266,Gabon,Africa,2436.570000,2.247200e+10,1.386318e+10,9.222820e+03,5.689631e+03
270,Gambia,Africa,2773.170000,2.341000e+09,9.858315e+08,8.441600e+02,3.554890e+02
268,Georgia,Europe,3728.280000,2.330000e+10,1.433273e+10,6.249530e+03,3.844327e+03
276,Germany,Europe,83294.630000,4.564780e+12,3.477800e+12,5.480279e+04,4.175295e+04
288,Ghana,Africa,34121.990000,7.889300e+10,4.279387e+10,2.312090e+03,1.254143e+03
300,Greece,Europe,10341.280000,2.348080e+11,1.926910e+11,2.270590e+04,1.863317e+04
304,Greenland,North America,56.640000,0.000000e+00,2.282928e+09,4.030380e+04,4.030593e+04
308,Grenada,North America,126.180000,1.275000e+09,1.016208e+09,1.010437e+04,8.053639e+03
320,Guatemala,North America,18092.030000,9.598800e+10,6.876292e+10,5.305540e+03,3.800730e+03
324,Guinea,Africa,14190.610000,2.294500e+10,8.476137e+09,1.616910e+03,5.973060e+02
624,Guinea-Bissau,Africa,2150.840000,1.802000e+09,1.122643e+09,8.378100e+02,5.219557e+02
328,Guyana,South America,813.830000,1.637700e+10,3.436627e+09,2.012327e+04,4.222782e+03
332,Haiti,North America,11724.760000,2.119500e+10,7.647347e+09,1.807710e+03,6.522391e+02
340,Honduras,North America,10593.800000,3.166100e+10,2.151692e+10,2.988640e+03,2.031086e+03
344,Hong Kong,Asia,7491.610000,3.913380e+11,3.209120e+11,5.223684e+04,4.283622e+04
348,Hungary,Europe,10156.240000,2.194630e+11,1.258170e+11,2.160869e+04,1.238811e+04
352,Iceland,Europe,375.320000,2.947600e+10,2.026966e+10,7.853607e+04,5.400634e+04
356,India,Asia,1428627.660000,3.893670e+12,2.259640e+12,2.725460e+03,1.581687e+03
360,Indonesia,Asia,277534.120000,1.410750e+12,9.322590e+11,5.083150e+03,3.359080e+03
364,Iran,Asia,89172.770000,1.782600e+12,4.254030e+11,1.999043e+04,4.770544e+03
368,Iraq,Asia,45504.560000,2.994090e+11,1.600210e+11,6.579760e+03,3.516593e+03
372,Ireland,Europe,5056.940000,5.621340e+11,3.048190e+11,1.111610e+05,6.027737e+04
376,Israel,Asia,9174.520000,5.477650e+11,3.177480e+11,5.970503e+04,3.463370e+04
380,Italy,Europe,58870.760000,2.169380e+12,1.858910e+12,3.684994e+04,3.157617e+04
384,Ivory Coast,Africa,28873.030000,8.033800e+10,3.676779e+10,2.782460e+03,1.273430e+03
388,Jamaica,North America,2825.540000,1.620800e+10,1.405690e+10,5.736240e+03,4.974943e+03
392,Japan,Asia,123294.510000,5.291350e+12,4.936210e+12,4.291635e+04,4.003594e+04
400,Jordan,Asia,11337.050000,5.046100e+10,3.865465e+10,4.450980e+03,3.409586e+03
398,Kazakhstan,Europe,19606.630000,2.259280e+11,1.350050e+11,1.152304e+04,6.885691e+03
404,Kenya,Africa,55100.590000,1.191270e+11,7.052598e+10,2.161990e+03,1.279950e+03
296,Kiribati,Oceania,133.520000,2.330000e+08,1.736551e+08,1.745120e+03,1.300593e+03
412,Kosovo,Europe,1663.590000,0.000000e+00,6.714466e+09,4.036120e+03,4.036130e+03
414,Kuwait,Asia,4310.110000,1.806650e+11,1.103460e+11,4.191658e+04,2.560170e+04
417,Kyrgyzstan,Asia,6735.350000,9.511000e+09,6.551291e+09,1.412100e+03,9.726727e+02
418,Laos,Asia,7633.780000,1.799600e+10,1.580571e+10,2.357420e+03,2.070495e+03
428,Latvia,Europe,1830.210000,4.312800e+10,2.757270e+10,2.356450e+04,1.506532e+04
422,Lebanon,Asia,5353.930000,0.000000e+00,5.045765e+10,9.424410e+03,9.424414e+03
426,Lesotho,Africa,2330.320000,2.716000e+09,2.241017e+09,1.165510e+03,9.616778e+02
430,Liberia,Africa,5418.380000,4.064000e+09,2.756818e+09,7.500400e+02,5.087900e+02
434,Libya,Africa,6888.390000,4.519500e+10,4.295953e+10,6.561040e+03,6.236513e+03
438,Liechtenstein,Europe,39.580000,0.000000e+00,6.193678e+09,1.564692e+05,1.564850e+05
440,Lithuania,Europe,2718.350000,7.599200e+10,4.277303e+10,2.795517e+04,1.573492e+04
442,Luxembourg,Europe,654.770000,9.177300e+10,5.863132e+10,1.401611e+05,8.954492e+04
446,Macau,Asia,704.150000,4.485600e+10,4.531108e+10,6.370243e+04,6.434862e+04
450,Madagascar,Africa,30325.730000,1.518900e+10,1.122226e+10,5.008600e+02,3.700575e+02
454,Malawi,Africa,20931.750000,1.132500e+10,5.318198e+09,5.410400e+02,2.540732e+02
458,Malaysia,Asia,34308.530000,4.819880e+11,2.965310e+11,1.404864e+04,8.643083e+03
462,Maldives,Asia,521.020000,6.109000e+09,4.224207e+09,1.172506e+04,8.107573e+03
466,Mali,Africa,23293.700000,2.119100e+10,1.400170e+10,9.097300e+02,6.010937e+02
470,Malta,Europe,535.060000,1.862700e+10,1.099858e+10,3.481266e+04,2.055578e+04
584,Marshall Islands,Oceania,42.000000,2.840000e+08,1.830000e+08,6.762550e+03,4.357143e+03
478,Mauritania,Africa,4862.990000,9.705000e+09,4.667119e+09,1.995690e+03,9.597222e+02
480,Mauritius,Africa,1300.560000,1.253800e+10,1.221624e+10,9.640480e+03,9.393058e+03
484,Mexico,North America,128455.570000,1.379730e+12,1.076910e+12,1.074089e+04,8.383556e+03
583,Micronesia,Oceania,115.220000,4.520000e+08,3.298956e+08,3.922790e+03,2.863180e+03
498,Moldova,Europe,3435.930000,1.375200e+10,6.772648e+09,4.002410e+03,1.971125e+03
492,Monaco,Europe,36.300000,0.000000e+00,6.468001e+09,1.781966e+05,1.781818e+05
496,Mongolia,Asia,3447.160000,2.104700e+10,1.116036e+10,6.105610e+03,3.237551e+03
499,Montenegro,Europe,626.490000,6.679000e+09,4.373958e+09,1.066107e+04,6.981689e+03
500,Montserrat,North America,4.390000,0.000000e+00,6.205138e+07,1.414760e+04,1.413471e+04
504,Morocco,Africa,37840.040000,1.429670e+11,1.036070e+11,3.778190e+03,2.738014e+03
508,Mozambique,Africa,33897.350000,1.951900e+10,1.093013e+10,5.758300e+02,3.224480e+02
104,Myanmar,Asia,54578.000000,7.354300e+10,6.569762e+10,1.347480e+03,1.203738e+03
516,Namibia,Africa,2604.170000,1.420500e+10,1.094728e+10,5.454710e+03,4.203749e+03
520,Nauru,Oceania,12.780000,1.380000e+08,1.034698e+08,1.079812e+04,8.096230e+03
524,Nepal,Asia,30896.590000,3.902800e+10,2.091400e+10,1.263180e+03,6.769033e+02
528,Netherlands,Europe,17618.300000,1.072790e+12,7.772280e+11,6.089061e+04,4.411479e+04
540,New Caledonia,Oceania,292.990000,0.000000e+00,9.445715e+09,3.223892e+04,3.223903e+04
554,New Zealand,Oceania,5228.100000,2.767200e+11,1.875170e+11,5.292936e+04,3.586716e+04
558,Nicaragua,North America,7046.310000,1.677600e+10,1.323021e+10,2.380820e+03,1.877609e+03
562,Niger,Africa,27202.840000,1.730300e+10,7.528286e+09,6.360700e+02,2.767463e+02
566,Nigeria,Africa,223804.630000,5.801210e+11,4.046490e+11,2.592090e+03,1.808046e+03
408,North Korea,Asia,26160.820000,0.000000e+00,1.678860e+10,6.417500e+02,6.417460e+02
807,North Macedonia,Europe,2085.680000,1.554600e+10,1.074578e+10,7.453690e+03,5.152172e+03
578,Norway,Europe,5474.360000,5.497330e+11,3.710690e+11,1.004196e+05,6.778307e+04
512,Oman,Asia,4644.380000,1.102500e+11,6.317096e+10,2.373835e+04,1.360159e+04
586,Pakistan,Asia,240485.660000,0.000000e+00,2.825060e+11,1.174730e+03,1.174731e+03
585,Palau,Oceania,18.060000,2.960000e+08,3.102480e+08,1.639163e+04,1.717874e+04
275,Palestine,Asia,5371.230000,0.000000e+00,1.339710e+10,2.494230e+03,2.494233e+03
591,Panama,North America,4468.090000,7.654900e+10,5.518780e+10,1.713239e+04,1.235154e+04
598,Papua New Guinea,Oceania,10329.930000,3.233400e+10,1.969412e+10,3.130130e+03,1.906510e+03
600,Paraguay,South America,6861.520000,4.467100e+10,2.716510e+10,6.510360e+03,3.959050e+03
604,Peru,South America,34352.720000,2.579600e+11,1.922100e+11,7.509160e+03,5.595176e+03
608,Philippines,Asia,117337.370000,4.458270e+11,3.049060e+11,3.799530e+03,2.598538e+03
616,Poland,Europe,41026.070000,7.556450e+11,4.714020e+11,1.841866e+04,1.149031e+04
620,Portugal,Europe,10247.610000,2.672410e+11,2.048370e+11,2.607839e+04,1.998872e+04
630,Puerto Rico,North America,3260.310000,1.210680e+11,1.050350e+11,3.713385e+04,3.221611e+04
634,Qatar,Asia,2716.390000,2.283560e+11,1.524520e+11,8.406595e+04,5.612299e+04
178,Republic of the Congo,Africa,6106.870000,1.564100e+10,7.778082e+09,2.561210e+03,1.273661e+03
642,Romania,Europe,19892.810000,3.126940e+11,1.866910e+11,1.571894e+04,9.384847e+03
643,Russia,Europe,144444.360000,1.713150e+12,1.246020e+12,1.186030e+04,8.626263e+03
646,Rwanda,Africa,14094.680000,1.317000e+10,8.473785e+09,9.343900e+02,6.012045e+02
659,Saint Kitts and Nevis,North America,47.760000,1.216000e+09,9.098546e+08,2.546330e+04,1.905056e+04
662,Saint Lucia,North America,180.250000,2.277000e+09,1.397067e+09,1.263238e+04,7.750718e+03
670,Saint Vincent and the Grenadines,North America,103.700000,1.043000e+09,7.653187e+08,1.005805e+04,7.380123e+03
882,Samoa,Oceania,225.680000,8.680000e+08,8.222333e+08,3.846140e+03,3.643359e+03
674,San Marino,Europe,33.640000,1.777000e+09,1.590761e+09,5.282088e+04,4.728779e+04
678,Sao Tome and Principe,Africa,231.860000,5.690000e+08,3.427817e+08,2.454110e+03,1.478399e+03
682,Saudi Arabia,Asia,36947.030000,1.021910e+12,6.396170e+11,2.765865e+04,1.731173e+04
686,Senegal,Africa,17763.160000,3.210700e+10,1.460452e+10,1.807500e+03,8.221803e+02
688,Serbia,Europe,7149.080000,7.258700e+10,3.829987e+10,1.015334e+04,5.357315e+03
690,Seychelles,Africa,107.660000,1.804000e+09,1.433826e+09,1.675646e+04,1.331810e+04
694,Sierra Leone,Africa,8791.090000,4.266000e+09,3.674757e+09,4.852600e+02,4.180092e+02
702,Singapore,Asia,6014.720000,4.509990e+11,2.969460e+11,7.498251e+04,4.936993e+04
534,Sint Maarten,North America,44.220000,0.000000e+00,1.072067e+09,2.424284e+04,2.424394e+04
703,Slovakia,Europe,5795.200000,1.310460e+11,8.976860e+10,2.261286e+04,1.549016e+04
705,Slovenia,Europe,2119.680000,6.988800e+10,4.470860e+10,3.297109e+04,2.109215e+04
90,Solomon Islands,Oceania,740.420000,1.783000e+09,1.133967e+09,2.408080e+03,1.531519e+03
706,Somalia,Africa,18143.380000,9.185000e+09,1.318058e+09,5.062500e+02,7.264675e+01
710,South Africa,Africa,60414.500000,4.477200e+11,2.954400e+11,7.410800e+03,4.890217e+03
410,South Korea,Asia,51784.060000,1.919560e+12,1.411250e+12,3.706859e+04,2.725251e+04
728,South Sudan,Africa,11088.800000,1.077100e+10,6.534452e+09,9.713400e+02,5.892839e+02
724,Spain,Europe,47519.630000,1.519090e+12,1.237260e+12,3.196763e+04,2.603671e+04
144,Sri Lanka,Asia,21893.580000,8.712100e+10,8.132197e+10,3.979290e+03,3.714421e+03
729,Sudan,Africa,48109.010000,0.000000e+00,8.288740e+10,1.722910e+03,1.722908e+03
740,Suriname,South America,623.240000,3.119000e+09,3.278445e+09,5.004520e+03,5.260325e+03
752,Sweden,Europe,10612.090000,6.698720e+11,5.144760e+11,6.312350e+04,4.848016e+04
756,Switzerland,Europe,8796.670000,8.881990e+11,6.688510e+11,1.009699e+05,7.603460e+04
760,Syria,Asia,23227.010000,0.000000e+00,2.216308e+10,9.541900e+02,9.541941e+02
158,Taiwan,Asia,23923.280000,8.925160e+11,0.000000e+00,3.730743e+04,0.000000e+00
762,Tajikistan,Asia,10143.540000,7.699000e+09,6.951679e+09,7.590100e+02,6.853307e+02
834,Tanzania,Africa,67438.110000,8.615200e+10,0.000000e+00,1.277500e+03,0.000000e+00
764,Thailand,Asia,71801.280000,5.563720e+11,4.070260e+11,7.748780e+03,5.668789e+03
626,Timor-Leste,Asia,1360.600000,2.035000e+09,2.703286e+09,1.495670e+03,1.986834e+03
768,Togo,Africa,9053.800000,9.539000e+09,4.449262e+09,1.053590e+03,4.914249e+02
776,Tonga,Oceania,107.770000,5.740000e+08,4.014603e+08,5.326010e+03,3.725158e+03
780,Trinidad and Tobago,North America,1534.940000,2.503000e+10,2.408618e+10,1.630686e+04,1.569193e+04
788,Tunisia,Africa,12458.220000,0.000000e+00,4.170356e+10,3.347470e+03,3.347474e+03
792,Turkey,Europe,85816.200000,7.143050e+11,8.637120e+11,8.323660e+03,1.006467e+04
795,Turkmenistan,Asia,6516.100000,8.489300e+10,3.617989e+10,1.302819e+04,5.552383e+03
796,Turks and Caicos Islands,North America,46.060000,0.000000e+00,9.175505e+08,1.991990e+04,1.992077e+04
798,Tuvalu,Oceania,11.400000,7.100000e+07,3.669719e+07,6.230260e+03,3.219051e+03
800,Uganda,Africa,48582.330000,5.010000e+10,2.530784e+10,1.031240e+03,5.209269e+02
804,Ukraine,Europe,36744.630000,0.000000e+00,9.327035e+10,2.538340e+03,2.538340e+03
784,United Arab Emirates,Asia,9516.870000,5.062340e+11,3.487440e+11,5.319332e+04,3.664478e+04
826,United Kingdom,Europe,67736.800000,3.686940e+12,2.647900e+12,5.443031e+04,3.909099e+04
840,United States,North America,339996.560000,2.669520e+13,1.862450e+13,7.851594e+04,5.477842e+04
858,Uruguay,South America,3423.110000,6.698800e+10,5.241972e+10,1.956935e+04,1.531348e+04
860,Uzbekistan,Asia,35163.940000,8.180900e+10,6.777890e+10,2.326500e+03,1.927512e+03
548,Vanuatu,Oceania,334.510000,1.071000e+09,8.375198e+08,3.201740e+03,2.503721e+03
862,Venezuela,South America,28838.500000,4.982300e+10,2.913760e+11,1.727660e+03,1.010373e+04
704,Vietnam,Asia,98858.950000,4.626440e+11,2.052760e+11,4.679840e+03,2.076455e+03
887,Yemen,Asia,34449.830000,2.955600e+10,2.537409e+10,8.579400e+02,7.365519e+02
894,Zambia,Africa,20569.740000,2.770900e+10,2.106306e+10,1.347080e+03,1.023983e+03
716,Zimbabwe,Africa,16665.410000,3.465400e+10,1.612376e+10,2.079400e+03,9.674988e+02
